Name,School,Rating,School_key,Conf,conf_z,Rating_conf
Dajuan Harris Jr.,Kansas,80.9752666666667,kansas,B12,1.7207353516788697,85.7494643745349
Robert Wright,Baylor,80.9700166666667,baylor,B12,1.7207353516788697,85.74201706416518
Keyshawn Hall,UCF,80.9574,ucf,B12,1.7207353516788697,85.72412302559029
Matt Cross,SMU,80.9145833333333,smu,ACC,1.7207353516788697,85.66342987655176
Dre Davis,Mississippi,80.1289166666666,mississippi,SEC,2.0829954257165264,85.60802346493945
Nimari Burnett,Michigan,80.1280166666667,michigan,Big Ten,2.0829954257165264,85.60668096015011
Terrance Williams II,USC,80.0922166666667,usc,Big Ten,2.0829954257165264,85.55330126433772
Mouhamed Dioubate,Alabama,80.0776166666667,alabama,SEC,2.0829954257165264,85.5315442920799
Ben Gregg,Gonzaga,83.6274333333333,gonzaga,WCC,0.6339551295658994,85.45351450359001
Pharrel Payne,Texas A&M,80.0138666666667,texasam,SEC,2.0829954257165264,85.43662782716012
Zvonimir Ivisic,Arkansas,79.9577833333333,arkansas,SEC,2.0829954257165264,85.35323893727832
Markus Burton,Notre Dame,80.6918,notredame,ACC,1.7207353516788697,85.3484537232484
Tarris Reed Jr.,Connecticut,79.9025666666667,connecticut,Big East,2.0829954257165264,85.27124150036619
Tobe Awaka,Arizona,80.5902666666666,arizona,B12,1.7207353516788697,85.20535827479358
Dain Dainja,Memphis,83.4083666666666,memphis,AAC,0.6339551295658994,85.20207454528126
Moustapha Thiam,UCF,80.5856333333333,ucf,B12,1.7207353516788697,85.19883506780984
Duke Miles,Oklahoma,79.8178833333333,oklahoma,SEC,2.0829954257165264,85.14568326491576
Jamir Watkins,Florida St.,80.5405999999999,floridast,ACC,1.7207353516788697,85.13546389374517
Isaac McKneely,Virginia,80.5200166666667,virginia,ACC,1.7207353516788697,85.10651738778611
Seth Trimble,North Carolina,80.4736166666667,northcarolina,ACC,1.7207353516788697,85.04130715270203
Baba Miller,Florida Atlantic,83.2040333333334,floridaatlantic,AAC,0.6339551295658994,84.96793289735824
Liam McNeeley,Connecticut,79.6661833333333,connecticut,Big East,2.0829954257165264,84.92135584357985
Alston Mason,Arizona St.,80.3794333333334,arizonast,B12,1.7207353516788697,84.90912294542589
Cam Carter,LSU,79.6544999999999,lsu,SEC,2.0829954257165264,84.9041105758231
Baye Ndongo,Georgia Tech,80.36475,georgiatech,ACC,1.7207353516788697,84.88853693776221
Morez Johnson Jr.,Illinois,79.59935,illinois,Big Ten,2.0829954257165264,84.82276670246709
Brooks Barnhizer,Northwestern,79.5775333333334,northwestern,Big Ten,2.0829954257165264,84.79061566081823
Michael Rataj,Oregon St.,82.9663833333333,oregonst,WCC,0.6339551295658994,84.6960807343368
Jeremy Fears Jr.,Michigan St.,79.50285,michiganst,Big Ten,2.0829954257165264,84.68067360867126
Frankie Collins,TCU,80.21335,tcu,B12,1.7207353516788697,84.676614659075085
Jordan Longino,Villanova,79.4763333333334,villanova,Big East,2.0829954257165264,84.64168207340734
