"Name","School","Rating"
"Meredith Mayes","Abilene Christian Wildcats",68.0648637709518
"Sidney Love","UTSA Roadrunners",68.0612127242768
"Reghan Grimes","Tennessee Tech Golden Eagles",68.0599574147567
"Trinity Hardy","Army Black Knights",68.0423860582334
"Ioanna Krimili","California Golden Bears",68.0356291043977
"Desiree Wooten","North Texas Mean Green",68.0272730243553
"Sydne Tolbert","West Georgia Wolves",68.026333290535
"Maia Jones","Saint Mary's Gaels",68.0220724230376
"Emily Robinson","Oral Roberts Golden Eagles",68.0190984789479
"Sigrun Olafsdottir","Chattanooga Mocs",68.0170891923499
"Bella Pucci","Binghamton Bearcats",68.0139479191828
"Lee Volker","Marquette Golden Eagles",67.9945155664709
"Tova Sabel","UC Davis Aggies",67.9604633964883
"Kennedy Harris","George Mason Patriots",67.9604002408013
"Georgia Woolley","Syracuse Orange",67.9575600237512
"Tatum Thompson","Boise State Broncos",67.954861772584
"Nevaeh Jackson","Valparaiso Beacons",67.94701429396
"Jailyn Banks","Belmont Bruins",67.9446847798183
"Loyal McQueen","Clemson Tigers",67.929793899585
"Paris Bradley","Louisiana Tech Lady Techsters",67.9252902555503
"Essence Cody","Alabama Crimson Tide",67.9201994165408
"Skylar Vann","Oklahoma Sooners",67.9200837140381
"Jordan Holman","Little Rock Trojans",67.9074073106142
"A'Vyonna Kinsey","Miami (OH)-Hamilton Harriers",67.9005671667337
"Enjulina Gonzalez","Miami (OH) RedHawks",67.8886905811458
"Lashae Dwyer","St. John's Red Storm",67.8528155573853
"Alexandra Zelaya","UNC Wilmington Seahawks",67.8525655790191
"Taryn Barbot","Charleston Cougars",67.8451501522384
"Jaleesa Lawrence","High Point Panthers",67.8403860051532
"Kara Dunn","Georgia Tech Yellow Jackets",67.8268787579825
"Elle Ladine","Washington Huskies",67.8256489028311
"Temira Poindexter","Kansas State Wildcats",67.8195410916595
"Imani Rothschild","Dillard Blue Devils",67.8141492072815
"Emily Isaacson","Utah Tech Trailblazers",67.7839583774317
"Anaya Brown","UT Martin Skyhawks",67.7737794792348
"Hannah Spitzley","Western Michigan Broncos",67.7504966042917
"Teresa Seppala","Siena Saints",67.7429818209382
"Sammi Mikonowicz","Toledo Rockets",67.7427905038555
"Mireia Aguado","Texas A&M-Corpus Christi Islanders",67.7184916916261
"Tahlia White","Utah Valley Wolverines",67.6998262790215
"Fiona Snashall","Regis Rangers",67.6713136060322
"Jaaucklyn Moore","North Texas Mean Green",67.6616761749913
"Cheyanne Bonilla","Sul Ross State Lobos",67.6544277331105
"Laniah Randle","Missouri Tigers",67.6540560671328
"Kenley McCarn","UT Martin Skyhawks",67.6497289694233
"Erin Leary","Iona Gaels",67.6467557761076
"Jade Upshaw","Central Arkansas Sugar Bears",67.645692104443
"Chance Gray","Ohio State Buckeyes",67.6344299004453
"Jakayla Johnson","UL Monroe Warhawks",67.6205241413775
"Mickayla Perdue","Cleveland State Vikings",67.6173591430616
"Sydney Shaw","West Virginia Mountaineers",67.6143786581696
"Taleyah Jones","Oral Roberts Golden Eagles",67.6082138478934
"Zanai Jones","SMU Mustangs",67.6058549677509
"Jillian Hayes","Cincinnati Bearcats",67.6023645228703
"Jasmine Kondrakiewicz","Green Bay Phoenix",67.5990600207118
"Kacey Spink","Idaho State Bengals",67.5665972771461
"Destiny Adams","Rutgers Scarlet Knights",67.5564968217083
"Mya Babbitt","Kent State Golden Flashes",67.5396044499063
"Stefanie Kulesza","Massachusetts Minutewomen",67.5376080300775
"Courtney Blakely","Middle Tennessee Blue Raiders",67.5365261527129
"Zada Porter","App State Mountaineers",67.5252992041691
"Morgan Lee","Marist Red Foxes",67.5234074715073
"Brianne Foley","Johnson & Wales (RI) Griffins",67.5230356093953
"Alyssa Brown","UNLV Lady Rebels",67.5194819941918
"Alyssa Ustby","North Carolina Tar Heels",67.5160839427104
"Riley Weiss","Columbia Lions",67.5154228123451
"Kiki McIntyre","Longwood Lancers",67.5143063342825
"Anna Gret Asi","Oklahoma State Cowgirls",67.5091280972242
"Kilyn McGuff","Butler Bulldogs",67.5077867160939
"Lauren Ross","Purdue Fort Wayne Mastodons",67.4906349247177
"Alyssa Hargrove","New Mexico Lobos",67.4845471904064
"Morgan Maly","Creighton Bluejays",67.481019759907
"Kendra Parra","Weber State Wildcats",67.4783271932669
"Veronica Sheffey","San Diego State Aztecs",67.4461701630192
"Theryn Hallock","Michigan State Spartans",67.4219840493757
"Sabou Gueye","Florida A&M Rattlers",67.4188301335764
"Gianna Corbitt","Chattanooga Mocs",67.4176984647766
"Kyrah Daniels","Missouri State Lady Bears",67.4070225836031
"Teneisia Brown","Fairleigh Dickinson Knights",67.4051269883807
"Gracie Gallegos","UC San Diego Tritons",67.3943344377162
"Madison Smith","Air Force Falcons",67.3899699278838
"Jordan Durant","Johnson & Wales (NC) Wildcats",67.3793654899579
"Kayla Cooper","Southern Illinois Salukis",67.3709267901007
"Kaylene Smikle","Maryland Terrapins",67.3704270835692
"Megan Norris","UC Davis Aggies",67.3680088499442
"Molly Kaiser","New Mexico State Aggies",67.3626595112068
"Marina Asensio","Western Michigan Broncos",67.3616002734817
"Truitt Reilly","San Diego Toreros",67.3558637606226
"Adia Dormu","Paine Lions",67.3446069857514
"Shay Ciezki","Indiana Hoosiers",67.3423597431357
