Name,School,Rating,team_key,team_id,conference_id,conf_z,Rating_conf
Katie Hurt,Lehigh Mountain Hawks,42.2536184583532,lehighmountainhawks,2329,22,-0.505160124153813,42.252863498458
Alba Garcia,Charleston Southern Buccaneers,42.2480553631151,charlestonsouthernbuccaneers,2127,6,-1.3272392548610852,42.24628104358129
Ava Toone,Loyola Marymount Lions,42.240928226363,loyolamarymountlions,2351,29,0.15617675887640683,42.240946499599836
Jasmine Timmerson,Davidson Wildcats,42.2340928571429,davidsonwildcats,2166,3,0.21493314091272497,42.234128565006266
Anna Rodgers,Bellarmine Knights,42.2262113154961,bellarmineknights,NA,NA,0,42.226095425257405
Kennadi Archibald,Sacramento State Hornets,42.2238793807641,sacramentostatehornets,16,5,-0.02468095143188219,42.22373408494654
Lucy Lynn,Yale Bulldogs,42.2053475468975,yalebulldogs,43,12,0.1841164774285017,42.20537299547763
Shelby Bowman,Western Illinois Leathernecks,42.2012964165062,westernillinoisleathernecks,2710,20,-0.46568010292818823,42.20063986766407
Elliott Jessup,North Carolina A&T Aggies,42.2001830266955,northcarolinaataggies,2448,10,-0.4891651654627686,42.1995000696862
Anna Csenyi,New Mexico State Aggies,42.175131547619,newmexicostateaggies,166,11,0.1427033440452017,42.1751445116696
Lauren Rust,Pittsburgh Panthers,42.1683134716732,pittsburghpanthers,221,2,1.7410828106998104,42.16876346197565
Shantavia Dawkins,Dayton Flyers,42.1683333333334,daytonflyers,2168,3,0.21493314091272497,42.16836592912953
Zahra King,California Golden Bears,42.1672811507936,californiagoldenbears,25,2,1.7410828106998104,42.16773048768515
Jade Moore,Chattanooga Mocs,42.1633936507937,chattanoogamocs,236,24,-0.4695431161729573,42.16276671074916
Rebecca Dwomoh,Robert Morris Colonials,42.1604071428571,robertmorriscolonials,NA,NA,0,42.16030139361975
Ella Riggs,Purdue Fort Wayne Mastodons,42.1521119565217,purduefortwaynemastodons,NA,NA,0,42.152007441296526
Aubrie Kierscht,South Carolina Upstate Spartans,42.1467189994788,southcarolinaupstatespartans,2908,6,-1.3272392548610852,42.14517767295089
Elle Johansson,Wagner Seahawks,42.1362333333333,wagnerseahawks,2681,19,-1.6800381617881592,42.13436968273665
Arianna Durrell,Jackson State Lady Tigers,42.1334648809524,jacksonstateladytigers,2296,26,-1.1266675637845338,42.13216558422691
Hilary Behrens,South Dakota State Jackrabbits,42.1144627140975,southdakotastatejackrabbits,NA,NA,0,42.11436367720004
Genesis Harris,Tennessee State Lady Tigers,42.1024386881234,tennesseestateladytigers,2634,20,-0.46568010292818823,42.101868020316495
LaNiya Scales,North Carolina Central Eagles,42.1027765151515,northcarolinacentraleagles,2428,16,-0.9745622795118004,42.10168806896419
Allysan Tse,Cal State Bakersfield Roadrunners,42.1022333333333,calstatebakersfieldroadrunners,2934,9,-0.518954747209004,42.10160870118337
Naiya Carney,Texas A&M-Corpus Christi Islanders,42.096394534632,texasamcorpuschristiislanders,357,25,-0.4220080591350636,42.09587285758567
Samiana Suguturaga,Utah State Aggies,42.0929036231884,utahstateaggies,NA,NA,0,42.092807634013575
Kenya Ramsey,UMBC Retrievers,42.0896754485853,umbcretrievers,2378,1,-0.5587271973835142,42.08902244406343
Momina Kassim,Northwestern State Lady Demons,42.0859181818182,northwesternstateladydemons,2466,25,-0.4220080591350636,42.08540441455685
Hilke Feldrappe,Missouri Tigers,42.0836863095238,missouritigers,142,23,2.220381999275397,42.08410933883767
Kellyn Preira,Monmouth Hawks,42.0837829087579,monmouthhawks,2405,10,-0.4891651654627686,42.08320431290392
Tylie Jones,New Mexico State Aggies,42.0795934523809,newmexicostateaggies,166,11,0.1427033440452017,42.079604756443146
Heather Middleton,Mount St. Mary's Mountaineers,42.0636452898551,mountstmarysmountaineers,116,13,-0.7445170244651927,42.06283835661631
Jean Chiu,Washington State Cougars,42.0564461580087,washingtonstatecougars,265,29,0.15617675887640683,42.05646021792609
Hilary Englert,Furman Paladins,42.051063263548,furmanpaladins,231,24,-0.4695431161729573,42.05053042157732
Asa Snyder,Furman Paladins,42.0220127140975,furmanpaladins,231,24,-0.4695431161729573,42.02150254648145
Mackenzie Marenchin,Idaho State Bengals,42.0173092074592,idahostatebengals,304,5,-0.02468095143188219,42.017201286167534
Alexis Parker,UTSA Roadrunners,42.0086640151515,utsaroadrunners,NA,NA,0,42.00857932624813
Valentyna Kadlecova,Indiana Hoosiers,41.996344215929,indianahoosiers,84,7,1.8898677492822935,41.99671547508613
Chelsea Bishop,Eastern Michigan Eagles,41.9954934065934,easternmichiganeagles,2199,14,-0.06421715182798006,41.99535472964594
Taylor Norris,Chicago State Cougars,41.9947310041408,chicagostatecougars,2130,19,-1.6800381617881592,41.99321879338502
Xyllize Harrison,Southern Jaguars,41.9931553631152,southernjaguars,2582,26,-1.1266675637845338,41.99209945074831
Anya McKenzie,Tarleton State Texans,41.9908008741258,tarletonstatetexans,2627,30,-0.3067245555951177,41.99045446545392
Adiana Pacheco,Marshall Thundering Herd,41.9887556360306,marshallthunderingherd,276,27,-0.06224989283771565,41.98862006899782
Addison Klosterbuer,South Dakota Coyotes,41.9858630952381,southdakotacoyotes,NA,NA,0,41.98578130212153
Hekla Nokkvadottir,App State Mountaineers,41.981054491342,appstatemountaineers,2026,27,-0.06224989283771565,41.98092051767897
Jenesis Hill,Norfolk State Spartans,41.9722476708074,norfolkstatespartans,2450,16,-0.9745622795118004,41.97135237935949
Dara Capaldi,Eastern Michigan Eagles,41.9692,easternmichiganeagles,2199,14,-0.06421715182798006,41.96906681635578
Kristen Kelley,Merrimack Warriors,41.9616702898551,merrimackwarriors,2771,13,-0.7445170244651927,41.96097884596203
Laila Lewis,North Carolina Central Eagles,41.9553051383399,northcarolinacentraleagles,2428,16,-0.9745622795118004,41.95443307409481
Jaidyn Koerdt,Coastal Carolina Chanticleers,41.9474566534914,coastalcarolinachanticleers,324,27,-0.06224989283771565,41.9473294831338
Mary Ferrito,UNC Wilmington Seahawks,41.9466872377622,uncwilmingtonseahawks,350,10,-0.4891651654627686,41.94621702989062
Sydney Barker,North Carolina Tar Heels,41.9358548219896,northcarolinatarheels,153,2,1.7410828106998104,41.93617328126628
Genevive Wedemeyer,UAB Blazers,41.9275291666666,uabblazers,NA,NA,0,41.92745447572457
Josee Steadman,Boise State Broncos,41.9226470297818,boisestatebroncos,NA,NA,0,41.92257291357648
Kylie Favours,Lafayette Leopards,41.9229300407925,lafayetteleopards,322,22,-0.505160124153813,41.9224647093995
Kaia Ponder,Kansas City Roos,41.9224732142857,kansascityroos,NA,NA,0,41.92239911848702
Josie Grosdidier,Colorado Christian Cougars,41.9182833333333,coloradochristiancougars,NA,NA,0,41.918209728294315
Mary McGrath,Lindenwood Lions,41.9177446488294,lindenwoodlions,2815,20,-0.46568010292818823,41.91731345051112
Maya Anderson,Detroit Mercy Titans,41.8858628787879,detroitmercytitans,NA,NA,0,41.88579299706251
Samia Greene,Northeastern Huskies,41.8740482142857,northeasternhuskies,111,10,-0.4891651654627686,41.87362942923221
Kaylen Reed,Western Illinois Leathernecks,41.8577537240537,westernillinoisleathernecks,2710,20,-0.46568010292818823,41.85736230013984
