Name,School,Rating
Alyssa Brown,UNLV Lady Rebels,81
Lauren Ross,Purdue Fort Wayne Mastodons,81
Alyssa Hargrove,New Mexico Lobos,81
Kendra Parra,Weber State Wildcats,81
Veronica Sheffey,San Diego State Aztecs,81
Madison Smith,Air Force Falcons,81
Jordan Durant,Johnson & Wales (NC) Wildcats,81
Molly Kaiser,New Mexico State Aggies,81
Truitt Reilly,San Diego Toreros,81
Adia Dormu,Paine Lions,81
Rory Hetrick,Cal State San Marcos Cougars,81
Brooklyn Meyer,South Dakota State Jackrabbits,81
Jayla Murray,Wichita State Shockers,81
Bella Smuda,Liberty Flames,81
Kendall Sneed,Tulane Green Wave,81
Silkiari Vazquez-Troche,Tennessee Southern Firehawks,81
Mack Konig,Montana Lady Griz,81
Kayba Laube,Northern Iowa Panthers,81
Rachel Ullstrom,Richmond Spiders,81
Emma Koons,Ohio Christian Trailblazers,81
Delanie Crawford,Tulsa Golden Hurricane,81
Angeliki Ziaka,San Francisco Dons,81
Elyce Knudsen,Illinois State Redbirds,81
Elena Rodriguez,Harvard Crimson,81
Eleonora Villa,Washington State Cougars,81
Camryn Runner,Evansville Purple Aces,81
Fanta Kone,Sam Houston Bearkats,81
Mackenzie Egger,Yale Bulldogs,81
Courtney Becker,Drake Bulldogs,81
Astera Tuhina,Washington State Cougars,81
Emily La Chapell,Belmont Bruins,81
Soleil Barnes,Bradley Braves,81
Jaidynn Mason,Marquette Golden Eagles,81
Ariel Jenkins,Georgetown Hoyas,81
Alli Campbell,Penn State Lady Lions,81
Mar'shaun Bostic,Auburn Tigers,81
Dontavia Waggoner,Boston College Eagles,81
Jewel Spear,Tennessee Lady Volunteers,81
Micah Gray,Oklahoma State Cowgirls,81
Ashlynn Shade,UConn Huskies,81
Aaliyah Nye,Alabama Crimson Tide,81
Emma Calvert,BYU Cougars,81
Jeriah Warren,Florida Gators,81
Cotie McMahon,Ohio State Buckeyes,81
Bella Fontleroy,Baylor Bears,81
Chazadi Wright,Georgia Tech Yellow Jackets,81
Elle Evans,Kansas Jayhawks,81
Ines Vieira,Utah Utes,81
Joyce Edwards,South Carolina Gamecocks,81
MiLaysia Fulwiley,South Carolina Gamecocks,81
Paris Clark,Virginia Cavaliers,81
Diamond Johnson,Norfolk State Spartans,80
Nitzan Amar,Manhattan Jaspers,80
Meghan Andersen,Fairfield Stags,80
Gal Raviv,Quinnipiac Bobcats,80
Maddie Albrecht,Lehigh Mountain Hawks,80
Chloe Hodges,Drexel Dragons,80
Camryn Tade,Army Black Knights,80
Gemma Nunez,Campbell Fighting Camels,80
Abby Antognoli,Lafayette Leopards,80
Saniah Parker,Tennessee State Lady Tigers,80
Jada Burton,Western Carolina Catamounts,80
Bella Vito,Vermont Catamounts,80
Brooke Coffey,Lindenwood Lions,80
Vanessa Shafford,Southern Indiana Screaming Eagles,80
Ellie Brueggemann,Lindenwood Lions,80
Faith Blackstone,Stephen F. Austin Ladyjacks,80
Chardonnay Hartley,Utah Tech Trailblazers,80
Alexius Horne,SE Louisiana Lady Lions,80
Jalencia Pierre,SE Louisiana Lady Lions,80
Meredith Mayes,Abilene Christian Wildcats,80
Emily Isaacson,Utah Tech Trailblazers,80
Tahlia White,Utah Valley Wolverines,80
Marina Asensio,Western Michigan Broncos,80
Marie Kiefer,Ball State Cardinals,80
Rachel Leggett,South Alabama Jaguars,80
Savannah Brooks,Coastal Carolina Chanticleers,80
Bridget Dunn,Kent State Golden Flashes,80
Jaiden Ross,Webber International Warriors,80
Liz Freihofer,Eastern Kentucky Colonels,80
Nyah Moran,Northern Arizona Lumberjacks,80
Bailey Tabeling,Ohio Bobcats,80
Carlie Latta,Utah State Aggies,80
Jade Weathersby,UAB Blazers,80
Haleigh Timmer,South Dakota State Jackrabbits,80
Sherese Pittman,Tulane Green Wave,80
Kylee Fox,Fresno State Bulldogs,80
