Name,School,Rating
Guillermo Diaz Graham,Pittsburgh,74
Zachary Davis,South Carolina,74
CJ Gunn,DePaul,74
Jackson McAndrew,Creighton,74
David Skogman,DePaul,74
Marcus Foster,Xavier,74
Frankie Fidler,Michigan St.,74
Luke O'Brien,Georgia Tech,74
D.J. Wagner,Arkansas,74
Layden Blocker,DePaul,74
Karter Knox,Arkansas,74
Jarin Stevenson,Alabama,74
Jacobi Wright,South Carolina,74
Szymon Zapala,Michigan St.,74
Femi Odukale,Minnesota,74
Chaunce Jenkins,Seton Hall,74
Kwame Evans Jr.,Oregon,74
Justin Mullins,Northwestern,74
Collin Moore,Grand Canyon,73
Kaden Gumbs,Texas St.,73
Joshua O'Garro,Texas St.,73
Jordan Battle,Coastal Carolina,73
Quion Williams,Abilene Christian,73
Kendal Coleman,Cal Baptist,73
Thomas Dowd,Troy,73
Dezayne Mingo,Marshall,73
Myles Rigsby,Troy,73
Sean Durugordon,Old Dominion,73
Jayden Brewer,FIU,73
Ahmad Henderson II,Illinois Chicago,73
Jarrett Hensley,Southern Illinois,73
Kevin Kalu,UTEP,73
Vincent Brady II,Missouri St.,73
Amaree Abram,Louisiana Tech,73
Johnny O'Neil,Santa Clara,73
Elijah Elliott,Southern Illinois,73
AJ Ferguson,Murray St.,73
Tony Toney,UAB,73
Justin Moore,Loyola Chicago,73
Justice Ajogbor,Saint Joseph's,73
Cameron Huefner,Sam Houston St.,73
Filip Skobalj,Illinois Chicago,73
Michael Ajayi,Gonzaga,73
"Carlton Linguard, Jr.",San Francisco,73
Peter Filipovity,New Mexico St.,73
Kobe Johnson,Saint Louis,73
Lamar Washington,Pacific,73
Keaston Willis,Tulsa,73
Isaiah Watts,Washington St.,73
Matas Vokietaitis,Florida Atlantic,73
David Dixon,Duquesne,73
Darren Buchanan Jr.,George Washington,73
K.D. Johnson,George Mason,73
Jonnivius Smith,UTSA,73
David Fuchs,Rhode Island,73
Leland Walker,Florida Atlantic,73
Christian Jones,George Washington,73
Justin McBride,Nevada,73
Steven Jamerson II,San Diego,73
Magoon Gwath,San Diego St.,73
Latrell Davis,San Jose St.,73
Arturo Dean,Oklahoma St.,73
Rashaan Mbemba,Colorado St.,73
Elijah Price,Fresno St.,73
Elijah Malone,Colorado,73
Mason Gillis,Duke,73
Amani Hansberry,West Virginia,73
Brycen Goodine,Oklahoma,73
Jayden Nunn,Baylor,73
Ethan Morton,Colorado St.,73
Kebba Njie,Notre Dame,73
RJ Godfrey,Georgia,73
Drew Fielder,Georgetown,73
Garwey Dual,Seton Hall,73
Tyler Perkins,Villanova,73
Somto Cyril,Georgia,73
Isaac Asuma,Minnesota,73
Mylyjael Poteat,Virginia Tech,73
Carter Gilmore,Wisconsin,73
Kanon Catchings,BYU,73
Aboubacar Traore,Louisville,73
Connor Hickman,Cincinnati,73
Vyctorius Miller,LSU,73
Caleb Foster,Duke,73
RJ Melendez,Mississippi St.,73
Troy D'Amico,DePaul,73
Derrion Reid,Alabama,73
Matt Knowling,USC,73
Bent Leuchten,UC Irvine,72
Oscar Cluff,South Dakota St.,72
Aniwaniwa Tait-Jones,UC San Diego,72
Nick Townsend,Yale,72
Xaivian Lee,Princeton,72
Alvaro Folgueiras,Robert Morris,72
Jacksen Moni,North Dakota St.,72
Max Brooks,UMass Lowell,72
Jacob Ognacevic,Lipscomb,72
Ante Brzovic,Charleston,72
Keonte Jones,Cal St. Northridge,72
Anthony Roy,Green Bay,72
Noah Williamson,Bucknell,72
Hayden Gray,UC San Diego,72
Taye Fields,North Alabama,72
Quimari Peterson,East Tennessee St.,72
AK Okereke,Cornell,72
Dylan Darling,Idaho St.,72
"Brian Moore, Jr.",Norfolk St.,72
Earl Timberlake,Bryant,72
Joe Anderson,Lipscomb,72
Bez Mbeng,Yale,72
Paul Otieno,Quinnipiac,72
Devin Tillis,UC Irvine,72
Jalen Jackson,Purdue Fort Wayne,72
Trey Bonham,Chattanooga,72
Jeff Woodward,Colgate,72
Noa Gonsalves,Utah Tech,72
Lok Wur,Grand Canyon,72
Adante’ Holiman,Georgia Southern,72
Xavier Brown,James Madison,72
Elijah Hutchins-Everett,James Madison,72
Maleek Arington,Seattle,72
Beon Riley,Utah Tech,72
Eren Banks,Georgia Southern,72
Freddy Hicks,Tarleton St.,72
Brock Felder,Southern Utah,72
Brody Robinson,UT Arlington,72
Mitch Mascari,Drake,72
Michael Osei-Bonsu,Missouri St.,72
Kaden Cooper,Louisiana Tech,72
Michael Houge,Jacksonville St.,72
Tavion Banks,Drake,72
Elijah Fisher,Pacific,72
Kylen Milton,Murray St.,72
Corey Washington,Wichita St.,72
